new-id;id;term;conc term ;definition;isSuperType;max-expressiveness;altLabel1;altLabel2;altLabel3;altLabel4;altLabel5;source;sourceCited;link;notes;parent-class-name;grandparent-class-name;grand-grandparent-class-name;parent-class-id;grandparent-class-id;grand-grandparent-class-id
t260;t63;authority files;t63 authority files;: lists of terms that are used to control the variant names for an entity or the domain value for a particular field.;0;1;;;;;;;Zeng 2008;https://www.researchgate.net/publication/297530633_Knowledge_organization_systems_KOS;;NAL ;term list ;;t260;t252;
t252;t164;authority headings;t164 authority headings;"you can browse and view authority headings for Subject, Name, Title and Name/Title combinations; and download authority records in MARC format for use in a local library system.  Subject Authorities , Name Authorities, Title Authorities, Keywords Authorities";0;2;;;;;;LOC;;http://id.loc.gov/;;term list ;;;t252;;
t268;t68;categorization schemes;t68 categorization schemes;: loosely formed grouping schemes. ;0;4;;;;;;;Zeng 2008;https://www.researchgate.net/publication/297530633_Knowledge_organization_systems_KOS;;categorisation ;classification ;;t268;t253;
t253;t146;category;t146 category;Is the generic term for items at any level within a classification, typically tabulation categories, sections, subsections, divisions, subdivisions, groups, subgroups, classes and subclasses. Classification categories are usually identified by codes (alphabetical or numerical) which provide both a unique identifier for each category and denote their place within the hierarchy. They contain elements which are subsets of the classification to which they belong, such as activities, products, types of occupations, types of education, etc.;0;6;element; item; ;;;UNSD - United Nations Statistics Division;;https://unstats.un.org/unsd/classifications/bestpractices/glossary_short.pdf;;classification ;;;t253;;
t253;t172;category scheme and categorisation;t172 category scheme and categorisation;Category schemes are made up of a hierarchy of categories, which in SDMX may include any type of useful classification for the organization of data and metadata. A Categorisation links a category to an identifiable object. In this way sets of objects can be categorised. A statistical subject-matter domain scheme is implemented in  SDMX as a Category Scheme. ;0;6;;;;;;sdmx ;;https://sdmx.org/wp-content/uploads/SDMX_2-1_SECTION_1_Framework.pdf;;classification ;;;t253;;
t270;t111;classification;t111 classification;Set of discrete, exhaustive and mutually exclusive observations, which can be assigned to one or more variables to be measured in the collation and/or presentation of data.  ;0;5;;;;;;eurostat - ramon ;;http://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=DSP_GLOSSARY_NOM_DTL_VIEW&StrNom=CODED2&StrLanguageCode=EN&IntKey=21224603&RdoSearch=BEGIN&TxtSearch=&CboTheme=36940327&IsTer=&IntCurrentPage=2&ter_valid=0;;statistical classification ; classification (broad) ;classification ;t270;t261;t253
t253;t140;classification;t140 classification;Is a set of discrete, exhaustive and mutually exclusive observations which can be assigned to one or more variables to be measured in the collation and/or presentation of data. The terms 'classification' and 'nomenclature' are often used interchangeably, despite the definition of a 'nomenclature' being narrower than that of a 'classification'. The structure of a classification can be either hierarchical or flat. Hierarchical classifications range from the broadest level (e.g. division) to the detailed level (e.g. class). Flat classifications (e.g. sex classification) are not hierarchical.  ;1;6;nomenclature;;;;;UNSD - United Nations Statistics Division;;https://unstats.un.org/unsd/classifications/bestpractices/glossary_short.pdf;;classification ;;;t253;;
t274;t161;classification;t161 classification;"The system divides all knowledge into twenty-one basic classes, each identified by a single letter of the alphabet. Most of these alphabetical classes are further divided into more specific subclasses, identified by two-letter, or occasionally three-letter, combinations. For example, class N, Arti>, has subclasses NA, Architecturei>; NB, Sculpturei>, ND, Paintingi>; as well as several other subclasses. Each subclass includes a loosely hierarchical arrangement of the topics pertinent to the subclass, going from the general to the more specific. Individual topics are often broken down by specific places, time periods, or bibliographic forms (such as periodicals, biographies, etc.). Each topic (often referred to as a caption) is assigned a single number or a span of numbers. Whole numbers used in LCC may range from one to four digits in length, and may be further extended by the use of decimal numbers. Some subtopics appear in alphabetical, rather than hierarchical, lists and are represented by decimal numbers that combine a letter of the alphabet with a numeral , e.g. .B72 or .K535. Relationships among topics in LCC are shown not by the numbers that are assigned to them, but by indenting subtopics under the larger topics that they are a part of, much like an outline. In this respect, it is different from more strictly hierarchical classification systems, such as the Dewey Decimal Classificationi>, where hierarchical relationships among topics are shown by numbers that can be continuously subdivided.";0;6;;;;;;LOC;;http://id.loc.gov/authorities/classification.html;;alphanumeric classification ; classification (broad) ;classification ;t274;t261;t253
t274;t33;classification;t33 classification;"A logical scheme for arrangement of knowledge, usually by subject. Classification schema are alpha and/or numeric; for example, Library of Congress Classification, Dewey Classification, Universal Decimal Classification.";0;6;;;;;;Dublin Core;;http://www.dublincore.org/documents/2001/04/12/usageguide/glossary/;;alphanumeric classification ; classification (broad) ;classification ;t274;t261;t253
t253;t253;classification ;;;1;;;;;;;;;;;;;;t251;;
t253;t66;classification and categorization;t66 classification and categorization;Subject Headings, categorization scheme, taxonomies, classifiecation schemes;1;6;;;;;;;Zeng 2008;https://www.researchgate.net/publication/297530633_Knowledge_organization_systems_KOS;;classification ;;;t253;;
t253;t105;classification scheme;t105 classification scheme;descriptive information for an arrangement or division of objects into groups based on characteristics, which the objects have in common;0;6;;;;;;ISO_IEC_11179-1_2004;;http://standards.iso.org/ittf/PubliclyAvailableStandards/c035343_ISO_IEC_11179-1_2004(E).zip;;classification ;;;t253;;
t162;t162;classification scheme;t162 classification scheme;Classification Schemes contains a list of classification schemes and assigns a URI to each scheme. The purpose of these properties is to permit users to associate classification numbers with the appropriate classification scheme.;0;5;;;;;;LOC;;http://id.loc.gov/vocabulary/classSchemes.html;;data model (format) ;model ;;t257;t250;
t274;t4;classification scheme;t4 classification scheme;A method of organization according to a set of pre-established principles, usually characterized by a notation system and a hierarchical structure of relationships among the entities. NOTE: A classification scheme often also includes an index.;0;6;;;;;;ANSI/NISO Z39 R2010;NISO TR-06-2017;https://groups.niso.org/apps/group_public/download.php/12591/z39-19-2005r2010.pdf;;alphanumeric classification ; classification (broad) ;classification ;t274;t261;t253
t253;t88;classification scheme;t88 classification scheme;thesaurus, taxonomy, data model, ontology ;1;11;;;;;;;;;;classification ;;;t253;;
t274;t202;classification schemes;t202 classification schemes;Classification systems are codes (letters and/or numbers) that represent controlled vocabulary terms.;0;5;;;;;;dlese;;http://www.dlese.org/Metadata/vocabularies/term_expln.php;;alphanumeric classification ; classification (broad) ;classification ;t274;t261;t253
t70;t70;classification schemes;t70 classification schemes;: hierarchical and faceted arrangements of numerical or alphabetical notations to represent broad topics.;0;6;;;;;;;Zeng 2008;https://www.researchgate.net/publication/297530633_Knowledge_organization_systems_KOS;;classification (broad) ;classification ;;t261;t253;
t274;t5;classification system;t5 classification system;a way to classify based on coding schemew;0;6;alphanumeric classification scheme;;;;;;;;Dewey Decimal Classification (DDC),  Universal Decimal Classification (UDC);alphanumeric classification ; classification (broad) ;classification ;t274;t261;t253
t253;t87;classification system;t87 classification system;A classification scheme is the product of arranging things into kinds of things (classes) or into groups of classes. In the abstract, the resulting structures are a crucial aspect of metadata, often represented as a hierarchical structure and accompanied by descriptive information of the classes or groups. Such a classification scheme is intended to be used for an arrangement or division of individual objects into the classes or groups, and the classes or groups are based on characteristics which the objects (members) have in common.;;10;classification scheme;;;;;wikipedia;;https://en.wikipedia.org/wiki/Comparison_and_contrast_of_classification_schemes_in_linguistics_and_metadata;;classification ;;;t253;;
t141;t141;code;t141 code;Normally consists of one or more alphabetic, numeric or alpha/numeric characters assigned to a descriptor in a classification. Each code is unique to a property within a classification. If the property changes, then the code should also be changed.;0;;code letters and numbers;;;;;UNSD - United Nations Statistics Division;;https://unstats.un.org/unsd/classifications/bestpractices/glossary_short.pdf;;alphanumeric classification ; classification (broad) ;classification ;t274;t261;t253
t259;t110;code list;t110 code list;Code lists are structural metadata. They provide the coding for the dimensions used in a table, e.g. UNIT, AGE, SEX, etc. All code lists currently used in Eurobase are available in the code list (see 'dic'), in EN, FR and DE. Code lists are very relevant when writing table titles: the terminology used in table titles should be coherent with code lists where applicable.;0;2;harmonised (common) code lists ;;;;;eurostat - ramon;;http://ec.europa.eu/eurostat/ramon/index.cfm?TargetUrl=DSP_PUB_WELC;;code list ;term list ;;t259;t252;
t259;t113;code list;t113 code list;Ordered list of assigned codes and their meanings in the given identification and/or classification scheme.;1;5;;;;;;eurostat - ramon;;http://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=DSP_GLOSSARY_NOM_DTL_VIEW&StrNom=CODED2&StrLanguageCode=EN&IntKey=24526316&RdoSearch=BEGIN&TxtSearch=&CboTheme=36940327&IsTer=&IntCurrentPage=2&ter_valid=0;;code list ;term list ;;t259;t252;
t259;t115;code list;t115 code list;A code list is a predefined list from which some statistical coded concepts take their values.;0;1;;;;;;OECD;"European Central Bank (ECB), Bank for International Settlement (BIS), Eurostat, International Monetary Fund (IMF), Organisation for Economic Co-operation and Development (OECD), ""GESMES/TS User Guide"", Release 3.00, February, 2003; unpublished on paper.";https://stats.oecd.org/glossary/detail.asp?ID=3371;;code list ;term list ;;t259;t252;
t259;t129;code list;t129 code list;‘code list’ means an open enumeration that can be extended,;0;2;;;;;;;;https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=OJ:L:2010:323:FULL&from=EN;;code list ;term list ;;t259;t252;
t259;t166;code list;t166 code list;MARC Code List for Relators The MARC Code Lists for Relators, Sources, Description Conventions have been reorganized. Relator terms and codes can be accessed on this page (below). The source code list parts can now be accessed at Source Codes for Vocabularies, Rules, and Schemes.;0;6;;;;;;loc;;http://id.loc.gov/;;code list ;term list ;;t259;t252;
t259;t167;code list;t167 code list;Code lists are predefined sets of terms from which some statistical coded concepts take their values. SDMX cross-domain code lists are used to support cross-domain concepts. The use of common code lists will help users to work even more efficiently, easing the maintenance of and reducing the need for mapping systems and interfaces delivering data and metadata to them. ;0;4;;;;;;sdmx ;;https://sdmx.org/?page_id=4345 ;;code list ;term list ;;t259;t252;
t259;t170;code list;t170 code list;Code list: Code lists enumerate a set of values to be used in the representation of dimensions, attributes, and other structural parts of SDMX. They can be supplemented by other structural metadata which indicates how codes are organized into hierarchies. ;0;4;;;;;;sdmx ;;https://sdmx.org/wp-content/uploads/SDMX_2-1_SECTION_1_Framework.pdf;;code list ;term list ;;t259;t252;
t259;t135;code list register ;t135 code list register ;…;0;2;;;;;;inspire metadata;;;;code list ;term list ;;t259;t252;
t259;t178;code lists ;t178 code lists ;They form part of the shared semantics of an ONIX message. The codelists contain a list of language-independent (often numerical) code values that are used in ONIX messages, plus for each code there is a short label and sometimes a longer note to define the meaning of the code. In principle, labels and notes may be in any language: although the meaning of almost all codes is originally defined in English, translation of labels and/or notes into another language does not alter the meaning of the code itself. Thus the meaning of an ONIX message using a particular code value is understandable and unambiguous, whatever the languages used by sender and recipient of the data.;0;2;codelist; controlled vocabulary;;;;EDItEUR - ONIX;;https://www.editeur.org/14/Code-Lists/ ;;code list ;term list ;;t259;t252;
t119;t119;code space;t119 code space;A code space is a set of all combinations of admissible values of a particular record of data. Cartesian product of the code word lists of individual data in a record.;0;8;;;;;;OECD;UN Statistical Commission, UNECE, 2000. ;https://stats.oecd.org/glossary/detail.asp?ID=3374;;data model (format) ;model ;;t257;t250;
t274;t142;coding structure;t142 coding structure;Refers to the systematic numbering/lettering of all the categories in a classification. The use of standardised conventions when creating coding structures helps in using and comparing classifications.;0;6;coding system;;;;;UNSD - United Nations Statistics Division;;https://unstats.un.org/unsd/classifications/bestpractices/glossary_short.pdf;;alphanumeric classification ; classification (broad) ;classification ;t274;t261;t253
t143;t143;concept;t143 concept;Are abstract summaries, general notions, knowledge etc. of a whole set of behaviours, attitudes or characteristics which are seen as having something in common. Concepts are used to assist in presenting/conveying precise meaning, categorising, interpreting, structuring and making sense of classifications.;0;3;;;;;;UNSD - United Nations Statistics Division;;https://unstats.un.org/unsd/classifications/bestpractices/glossary_short.pdf;;conceptual model ;model ;;t258;t250;
t121;t121;concept list;t121 concept list;concept list : representation of a concept model in list form;0;7;;;;;;Danish gov digital data strategy 2016-2020;;https://arkitektur.digst.dk/sites/default/files/rules_for_concept_and_data_modelling_-_in_english.pdf;;conceptual model ;model ;;t258;t250;
t258;t120;concept model;t120 concept model;concept model : model that describes the concepts of a specific domain and their relationships. Broad sense;0;7;;;;;;Danish gov digital data strategy 2016-2020;;https://arkitektur.digst.dk/sites/default/files/rules_for_concept_and_data_modelling_-_in_english.pdf;;conceptual model ;model ;;t258;t250;
t258;t122;concept model;t122 concept model;"concept diagram : representation of a concept model expressed as a diagram; narrow sense";0;7;concept diagram;;;;;Danish gov digital data strategy 2016-2020;;https://arkitektur.digst.dk/sites/default/files/rules_for_concept_and_data_modelling_-_in_english.pdf;;conceptual model ;model ;;t258;t250;
t258;t173;concept scheme;t173 concept scheme;A concept scheme is a maintained list of concepts that are used in data structure definitions and metadata structure definitions. There can be many such concept schemes. A “core” representation of the  concept can be specified (e.g. a core code list, or other representation such  as “date”). Note that this core representation can be overridden in the data  structure definition or metadata structure definition that uses the concept. Indeed, organisations wishing to remain with version 1.0 key family schema specifications will continue to declare the representation in the key family  definition.;0;7;;;;;;sdmx ;;https://sdmx.org/wp-content/uploads/SDMX_2-1_SECTION_1_Framework.pdf;;conceptual model ;model ;;t258;t250;
t258;t102;concept system;t102 concept system;set of concepts structured according to the relations among them;0;7;;;;;;ISO_IEC_11179-1_2004;;http://standards.iso.org/ittf/PubliclyAvailableStandards/c035343_ISO_IEC_11179-1_2004(E).zip;;conceptual model ;model ;;t258;t250;
t258;t101;conceptual model;t101 conceptual model;A conceptual model represents the human understanding of a system.;0;7;;;;;;ISO_IEC_11179-1_2004;;http://standards.iso.org/ittf/PubliclyAvailableStandards/c035343_ISO_IEC_11179-1_2004(E).zip;;conceptual model ;model ;;t258;t250;
t187;t187;controlled format;t187 controlled format;the term controlled format refers to rules concerning the allowable data types and formatting of information. Fields may have controlled format in addition to being linked to controlled vocabulary, or the controlled format may exist in the absence of any finite controlled list of acceptable values.;0;8;grammar; format encoding scheme;;;;Harpring 2010;;;;data model (format) ;model ;;t257;t250;
t253;t190;controlled list;t190 controlled list;"A controlled list is a simple list of terms used to control terminology. In a well-constructed controlled list, the following is true: each term is unique; terms are not overlapping in meaning; terms are all members of the same class (i.e., having the same level of rank in a classification system); terms are equal in granularity or specificity; and terms are arranged alphabetically or in another logical order.";0;5;flat term list; pick list;;;;Harpring 2010;;;;classification ;;;t253;;
t251;t251;controlled resource ;;;1;;;;;;;;;;;;;;;;
t252;t76;controlled vocabularies;t76 controlled vocabularies; here we mean by it a closed list of named subjects, which can be used for classification. In library science this is sometimes known as an indexing language. The constituents of a controlled vocabulary are usually known as terms, where a term is a particular name for a particular concept. (This is pretty much the same as the common-sense notion of a keyword.);0;4;;;;;;;Garshol 2004 ;https://web.archive.org/web/20081017174807/http://www.ontopia.net/topicmaps/materials/tm-vs-thesauri.html;;term list ;;;t252;;
t251;t107;controlled vocabulary;t107 controlled vocabulary;"""Controlled vocabulary"" is a general term for a list of standardized terms used for indexing and information retrieval usually in a defined information domain. It is characterized by consistent format, syntax and may include synonyms and cross-references. In a controlled vocabulary, one of a set of possible terms representing a concept is chosen as the representative term for that concept (preferred term). Consequently, all resources about that particular concept, within a body of information resources, can be indexed using the representative term.";1;;;;;;;canadian gov;;http://www.bac-lac.gc.ca/eng/services/government-information-resources/controlled-vocabularies/Pages/how-to-register-controlled-vocabulary.aspx;;controlled resource ;;;t251;;
t251;t17;controlled vocabulary;t17 controlled vocabulary;A prescribed set of consistently used and carefully defined terms.;1;7;;;;;;;;http://www.dublincore.org/documents/2001/04/12/usageguide/glossary/;;controlled resource ;;;t251;;
t257;t20;controlled vocabulary;t20 controlled vocabulary;A simple list of terms, definitions and naming conventions. A controlled vocabulary frequently has some type of oversight process associated with adding or removing data element definitions to ensure consistency. Terms are often defined in relationship to each other.;1;6;;;;;;wikipedia;;https://en.wikipedia.org/wiki/Semantic_spectrum;;data model (format) ;model ;;t257;t250;
t251;t29;controlled vocabulary;t29 controlled vocabulary;A controlled vocabulary is an established list of standardized terminology for use in indexing and retrieval of information. An example of a controlled vocabulary is subject headings used to describe library resources. ;1;7;;;;;;OECD;;https://stats.oecd.org/glossary/detail.asp?ID=6260;;controlled resource ;;;t251;;
t253;t30;controlled vocabulary;t30 controlled vocabulary;Refers to the vocabulary to be used for specific classifications which have specific meaning as given by the author or agreed by experts. 'Commodity', 'product' and 'service' would be examples of terms in controlled vocabulary used in industry and product classifications.;1;7;;;;;;UNSD - United Nations Statistics Division;;https://unstats.un.org/unsd/classifications/bestpractices/glossary_short.pdf;;classification ;;;t253;;
t251;t35;controlled vocabulary;t35 controlled vocabulary;A controlled vocabulary is a restricted list of words or terms typically used for descriptive cataloging, tagging or indexing. It is controlled because users (catalogers, taggers, indexers) may only apply terms from the list for its scoped area (its metadata value or fi eld). The term ‘ controlled vocabulary ’is broad and covers the full range of different kinds of structures for term management. ;1;14;;;;;;Hedden 2010;;https://link.springer.com/content/pdf/10.1057%2Fdam.2010.29.pdf;;controlled resource ;;;t251;;
t86;t6;controlled vocabulary;t6 controlled vocabulary;"A list of terms that have been enumerated explicitly. This list is controlled by and is available from a controlled vocabulary registration authority. All terms in a controlled vocabulary must have an unambiguous, non-redundant definition. NOTE: This is a design goal that may not be true in practice; it depends on how strict the controlled vocabulary registration authority is regarding registration of terms into the controlled vocabulary.";0;2;;;;;;ANSI/NISO Z39 R2010;NISO TR-06-2017;https://groups.niso.org/apps/group_public/download.php/12591/z39-19-2005r2010.pdf;;glossary ;term list ;;t263;t252;
t251;t7;controlled vocabulary;t7 controlled vocabulary;Controlled vocabularies provide a way to organize knowledge for subsequent retrieval. They are used in subject indexingschemes, subject headings, thesauri,[1][2] taxonomies and other forms of knowledge organization systems. Controlled vocabulary schemes mandate the use of predefined, authorised terms that have been preselected by the designers of the schemes, in contrast to natural language vocabularies, which have no such restriction. There are two main kinds of controlled vocabulary tools used in libraries: subject headings and thesauri.;1;7;;;;;;wikipedia;;https://en.wikipedia.org/wiki/Controlled_vocabulary;thesauri and subject headings are subtypes of controlled vocabularies;controlled resource ;;;t251;;
t86;t86;controlled vocabulary;t86 controlled vocabulary;A controlled vocabulary is an organized arrangement of words and phrases used to index content and/or to retrieve content through browsing or searching. It typically includes preferred and variant terms and has a defined scope or describes a specific domain. ;0;2;;;;;;Harpring 2010;;;;glossary ;term list ;;t263;t252;
t86;t95;controlled vocabulary;t95 controlled vocabulary;An established list of preferred terms from which a cataloger or indexer must select when assigning subject headings or descriptors in a bibliographic record, to indicate the content of the work in a library catalog, index, or bibliographic database. Synonyms are included as lead-in vocabulary, with instructions to see or USE the authorized heading.;0;3;;;;;;odlis;;https://www.abc-clio.com/ODLIS/odlis_c.aspx;;glossary ;term list ;;t263;t252;
t257;t214;controlled-list data element;t214 controlled-list data element;In library cataloging, a data element in the MARC record whose content is determined by a list maintained by a designated agency, for example, the MARC Code List for Geographic Areas in the case of field 043 (Geographic Area Code) of the bibliographic format, a list controlled by the Library of Congress. This type of data element is indicated at the field or subfield level in MARC 21, and only values from the designated list may be used. If a change or addition is desired in a list, the maintenance agency must be consulted. (MARC 21 Concise Formats);0;6;;;;;;odlis;;https://www.abc-clio.com/ODLIS/odlis_c.aspx;;data model (format) ;model ;;t257;t250;
t272;t124;core model;t124 core model;core model : reusable logical model of a domain focussing on a central business object that does not define model elements defined in other core models;0;11;;;;;;Danish gov digital data strategy 2016-2020;;https://arkitektur.digst.dk/sites/default/files/rules_for_concept_and_data_modelling_-_in_english.pdf;;core model ; logical model ;model ;t272;t256;t250
t257;t31;core vocabularies;t31 core vocabularies;Core Vocabularies are simplified, re-usable and extensible data models that capture the fundamental characteristics of an entity in a context-neutralfashion.;1;;;;;;;join up;join up;;;data model (format) ;model ;;t257;t250;
t254;t145;correspondance table;t145 correspondance table;Is a tool for the linking of classifications. A correspondence table systematically explains where, and to what extent, the categories in one classification may be found in other classifications, or in earlier versions of the same classification. Methodologically, correspondence tables (also referred to as tables) describe the way in which the value sets of classifications are related, by describing how the units classified to the groups defined for a classification would be classified in other classifications.;0;3;mapping; alignment;;;;UNSD - United Nations Statistics Division;;https://unstats.un.org/unsd/classifications/bestpractices/glossary_short.pdf;;mapping ;;;t254;;
t254;t36;crosswalk ;t36 crosswalk ;A table that maps the relationships and equivalencies between two or more metadata formats. Crosswalks or metadata mapping support the ability of search engines to search effectively across heterogeneous databases, i.e. crosswalks help promote interoperability.;0;3;mapping;;;;;Dublin Core;;http://www.dublincore.org/documents/2001/04/12/usageguide/glossary/;;mapping ;;;t254;;
t116;t116;data dictionary;t116 data dictionary;"A data dictionary is a database used for data that refers to the use and structure of other data; that is, a database for the storage of metadata.";1;;controlled vocabulary;;;;;OECD;ISO/IEC 11179, Part 1, ;https://stats.oecd.org/glossary/detail.asp?ID=536;;data model (format) ;model ;;t257;t250;
t96;t96;data dictionary;t96 data dictionary;Terms, definitions, naming conventions and one or more representations of the data elements in a computer system. Data dictionaries often define data types, validation checks such as enumerated values and the formal definitions of each of the enumerated values.;0;8;;;;;;wikipedia;;https://en.wikipedia.org/wiki/Semantic_spectrum;;glossary ;term list ;;t263;t252;
t100;t100;data element;t100 data element;In metadata, the term data element is an atomic unit of data that has precise meaning or precise semantics. A data element has:  An identification such as a data element name A clear data element definition One or more representation terms Optional enumerated values Code (metadata) A list of synonyms to data elements in other metadata registries Synonym ring;0;8;element;;;;;wikipedia;;https://en.wikipedia.org/wiki/Data_element;;data model (format) ;model ;;t257;t250;
