"term","definition","alt label","source","source cited","link source","notes"
"Linked Open Data","Linked Open Data (LOD) is Linked Data which is released under an open license, which does not impede its reuse for free.","","wikipedia","NISO TR-06-2017","https://en.wikipedia.org/wiki/Linked_data#Linked_open_data",""
"mapping","Product of mapping process. Relationship between a concept in one vocabulary and one or more concepts in another. NOTE 1: A mapping generally has a direction. NOTE 2: Exceptionally, a mapping may involve a combination of two or more target vocabularies, where one or more of them act(s) as qualifier to the other.","alignment","ISO 25964-2:2013","NISO TR-06-2017","https://www.iso.org/standard/53658.html",""
"metadata","Data that identify attributes of a document; typically used to support functions such as location, discovery, documentation, evaluation, and/or selection. NOTE: Preferred terms or notations selected during the indexing process are commonly applied as metadata values.","","ISO 25964-2:2013","NISO TR-06-2017","https://www.iso.org/standard/53658.html",""
"Name authority list","Controlled vocabulary for use in naming particular entities consistently. NOTE: The entities in question are unique individuals, such as Benjamin Disraeli, Kilimanjaro, or the Bayeux Tapestry, rather than classes such as politicians, mountains, or embroideries. A name authority list may also be known as a name authority file. A name authority list is sometimes referred to simply as an authority list.","","ISO 25964-2:2013","NISO TR-06-2017","https://www.iso.org/standard/53658.html",""
"ontology","In computer science and information science, an ontology is a formal naming and definition of the types, properties, and interrelationships of the entities that really or fundamentally exist for a particular domain of discourse. It is thus a practical application of philosophical ontology, with a taxonomy.","","wikipedia","NISO TR-06-2017","https://www.iso.org/standard/53658.html",""
"properties","Elements are the ""core"" attributes of resources, used for the uniform structured resource description. Properties like dc:title, dc:creator, etc. are defined in the Dublin Core Metadata Element Set (DCMES), which is the Set of the fifteen generic elements created in the 1990s. And properties like dcterms:title, dcterms:alternative, etc. are defined as DCMI Metadata Terms - also known as subproperties or refinements of the DCMES. In record based metadata systems properties are usually called metadata fields.","elements, element set","Dublin Core","NISO TR-06-2017","https://github.com/dcmi/repository/blob/master/mediawiki_wiki/User_Guide.md",""
"controlled vocabulary","A prescribed set of consistently used and carefully defined terms.","","","","http://www.dublincore.org/documents/2001/04/12/usageguide/glossary/",""
"Schedule","Terms, notations, captions, cross-references and scope notes set out to exhibit the content and structure of a structured vocabulary.","","ISO 25964-2:2013","NISO TR-06-2017","https://www.iso.org/standard/53658.html",""
"Search thesaurus","Vocabulary intended to assist searching even though it has not been used to index the documents being searched. NOTE: Search thesauri are designed to facilitate choice of terms and/or expansion of search expressions to include terms for broader, narrower or related concepts, as well as synonyms.","thesaurus","ISO 25964-2:2013","NISO TR-06-2017","https://www.iso.org/standard/53658.html",""
"controlled vocabulary","A simple list of terms, definitions and naming conventions. A controlled vocabulary frequently has some type of oversight process associated with adding or removing data element definitions to ensure consistency. Terms are often defined in relationship to each other.","","wikipedia","","https://en.wikipedia.org/wiki/Semantic_spectrum",""
"Metadata element sets","interest. In Linked Data terminology, such element sets are generally made concrete through RDF Schemas or OWL Web Ontology Language67 ontologies, the term ""RDF vocabulary"" often being used as an umbrella for these. Usually a metadata element set does not describe bibliographic entities, rather it provides elements to be used by others to describe such entities.","","w3c","NISO TR-06-2017","https://www.w3.org/2005/Incubator/lld/XGR-lld-vocabdataset-20111025/#Metadata_Element_Sets",""
"Subject heading scheme","Structured vocabulary comprising terms available for subject indexing, plus rules for combining them into pre-coordinated strings of terms where necessary.","Subject heading list","ISO 25964-2:2013","NISO TR-06-2017","https://www.iso.org/standard/53658.html",""
"Subject headings","","subject authority files","w3c","w3c","https://www.w3.org/2005/Incubator/lld/XGR-lld-vocabdataset-20111025/#Classification_systems","Library of Congress Subject Headings (LCSH), Répertoire d'Autorité-Matière Encyclopédique et Alphabétique Unifié (RAMEAU), Schlagwortnormdatei (SWD), National Diet Library List of Subject Headings (NDLSH), "
"synonym ring","A group of terms that are considered equivalent for the purposes of retrieval.","","ANSI/NISO Z39 R2010","NISO TR-06-2017","https://groups.niso.org/apps/group_public/download.php/12591/z39-19-2005r2010.pdf",""
"Taxonomy","A collection of controlled vocabulary terms organized into a hierarchical structure. Each term in a taxonomy is in one or more parent/child (broader/narrower) relationships to other terms in the taxonomy.","","ANSI/NISO Z39 R2010","NISO TR-06-2017","https://groups.niso.org/apps/group_public/download.php/12591/z39-19-2005r2010.pdf",""
"Terminology","Set of designations belonging to one special language.","","ISO 25964-2:2013","NISO TR-06-2017","https://www.iso.org/standard/53658.html",""
"Thesaurus","A book that lists words in groups of synonyms and related concepts.","","oxford dictionary","NISO TR-06-2017","",""
"thesaurus","a thesaurus is a reference work that lists words grouped together according to similarity of meaning (containing synonyms and sometimes antonyms), in contrast to a dictionary, which provides definitions for words, and generally lists them in alphabetical order","","wikipedia","","https://en.wikipedia.org/wiki/Thesaurus",""
"controlled vocabulary","A controlled vocabulary is an established list of standardized terminology for use in indexing and retrieval of information. An example of a controlled vocabulary is subject headings used to describe library resources.","","OECD","","https://stats.oecd.org/glossary/detail.asp?ID=6260",""
"Controlled vocabulary","Refers to the vocabulary to be used for specific classifications which have specific meaning as given by the author or agreed by experts. 'Commodity', 'product' and 'service' would be examples of terms in controlled vocabulary used in industry and product classifications.","","UNSD - United Nations Statistics Division","","https://unstats.un.org/unsd/classifications/bestpractices/glossary_short.pdf",""
"Core Vocabularies","Core Vocabularies are simplified, re-usable and extensible data models that capture the fundamental characteristics of an entity in a context-neutralfashion.","","join up","join up","",""
"ontology","a common ontology defines the vocabulary with which queries and assertions are exchanged among agents” based on “ontological commitments to use the shared vocabulary in a coherent and consistent manner.","","gruber","Gruber’s (1993/1993a) classic definition","",""
"classification","A logical scheme for arrangement of knowledge, usually by subject. Classification schema are alpha and/or numeric; for example, Library of Congress Classification, Dewey Classification, Universal Decimal Classification.","","Dublin Core","","http://www.dublincore.org/documents/2001/04/12/usageguide/glossary/",""
"authority file","A collection of authority records that shows the preferred form of a personal or corporate name, geographic region or subjects. Records indicates variant forms of the established heading.","","Dublin Core","","http://www.dublincore.org/documents/2001/04/12/usageguide/glossary/",""
"controlled vocabulary","A controlled vocabulary is a restricted list of words or terms typically used for descriptive cataloging, tagging or indexing. It is controlled because users (catalogers, taggers, indexers) may only apply terms from the list for its scoped area (its metadata value or fi eld). The term ‘ controlled vocabulary ’is broad and covers the full range of different kinds of structures for term management.","","Hedden 2010","","https://link.springer.com/content/pdf/10.1057%2Fdam.2010.29.pdf",""
"crosswalk ","A table that maps the relationships and equivalencies between two or more metadata formats. Crosswalks or metadata mapping support the ability of search engines to search effectively across heterogeneous databases, i.e. crosswalks help promote interoperability.","mapping","Dublin Core","","http://www.dublincore.org/documents/2001/04/12/usageguide/glossary/",""
"element","A discrete unit of data or metadata. An element may contain subelements that are called qualifiers in Dublin Core.","","Dublin Core","","http://www.dublincore.org/documents/2001/04/12/usageguide/glossary/",""
"encoding scheme","A scheme that aids in the interpretation of an element value. These schemes include controlled vocabularies and formal notations or parsing rules. A value expressed using an encoding scheme will thus be a token selected from a controlled vocabulary (e.g., a term from a classification system or set of subject headings) or a string formatted in accordance with a formal notation.","","Dublin Core","","http://www.dublincore.org/documents/2001/04/12/usageguide/glossary/",""
"Format","The Dublin Core element used to designate the physical or digital manifestation of the resource. See also section 4 of the Dublin Core Users Guide.","","Dublin Core","","http://www.dublincore.org/documents/2001/04/12/usageguide/glossary/",""
"glossary","An alphabetized list of terms with definitions often created by an organization to reflect its needs. Normally lacks hierarchical arrangement or cross references. Also known as a term list.","","Dublin Core","","http://www.dublincore.org/documents/2001/04/12/usageguide/glossary/",""
"information resource","Any entity, electronic or otherwise, capable of conveying or supporting intelligence or knowledge; e.g. a book, a letter, a picture, a sculpture, a database, a person.","","Dublin Core","","http://www.dublincore.org/documents/2001/04/12/usageguide/glossary/",""
"metadata","In general, ""data about data;"" functionally, ""structured data about data."" Information about an information resource. In the case of Dublin Core, information that expresses the intellectual content, intellectual property and/or instantiation characteristics of an information resource. See Section 1.1 of this guide.","","Dublin Core","","http://www.dublincore.org/documents/2001/04/12/usageguide/glossary/",""
"metadata registry","A publicly accessible system that records the semantics, structure and interchange formats of any type of metadata. A formal authority, or agency, maintains and manages the development and evolution of a metadata registry. The authority is responsible for policies pertaining to registry contents and operation.","","Dublin Core","","http://www.dublincore.org/documents/2001/04/12/usageguide/glossary/",""
"Property","A property is a specific aspect, characteristic, attribute, or relation used to describe a resource. Dublin Core metadata elements are propertieshttp://dublincore.org/documents/2002/04/14/dc-xml-guidelines/","","Dublin Core","","http://www.dublincore.org/documents/2001/04/12/usageguide/glossary/",""
"record","A record is some structured metadata about a resource, comprising one or more properties and their associated values.http://dublincore.org/documents/2002/04/14/dc-xml-guidelines/","","Dublin Core","","http://www.dublincore.org/documents/2001/04/12/usageguide/glossary/",""
"registry","A system to provide management of metadata elements. Metadata registries are formal systems that provide authoritative information about the semantics and structure of data elements. Each element will include the definition of the element, the qualifiers associated with it, mappings to multilingual versions and elements in other schema.","","Dublin Core","","http://www.dublincore.org/documents/2001/04/12/usageguide/glossary/",""
"relation","The Dublin Core element used to designate A reference to a related resource. Recommended best practice is to reference the resource by means of a string or number conforming to a formal identification system. See section 4 of the Dublin Core Users Guide.","","Dublin Core","","http://www.dublincore.org/documents/2001/04/12/usageguide/glossary/",""
"resource","A resource is anything that has identity. Familiar examples include an electronic document, an image, a service (e.g., ""today's weather report for Los Angeles""), and a collection of other resources. Not all resources are network ""retrievable""; e.g., human beings, corporations, and bound books in a library can also be considered resources. http://dublincore.org/documents/2002/04/14/dc-xml-guidelines/","","Dublin Core","","http://www.dublincore.org/documents/2001/04/12/usageguide/glossary/",""
"resource description framework (RDF)","The basic language for writing metadata; a foundation which provides a robust flexible architecture for processing metadata on the Internet. RDF will retain the capability to exchange metadata between application communities, while allowing each community to define and use the metadata that best serves their needs. For more information see http://www.w3.org/RDF/","","Dublin Core","","http://www.dublincore.org/documents/2001/04/12/usageguide/glossary/",""
"scheme","A scheme, or schema, is a systematic, orderly combination of elements. A set of rules for encoding information that supports a specific community of users.","","Dublin Core","","http://www.dublincore.org/documents/2001/04/12/usageguide/glossary/",""
"structured values","DCSV recognizes two types of substrings: labels and values. A label is the name of the type of a value, and a value is the data itself. A value that is comprised of components, i.e. a value which has its own label and value, is called a structured value. Punctuation supports the parsing of the DCSV.","Dublin Core Structured Values","Dublin Core","","http://www.dublincore.org/documents/2001/04/12/usageguide/glossary/",""
"structural metadata","Structural metadata defines the digital object's internal organization and is needed for display and navigation of that object.","","Dublin Core","","http://www.dublincore.org/documents/2001/04/12/usageguide/glossary/",""
"Subject","The Dublin Core element used to designate the topic of the resource. The element may use controlled vocabularies or keywords or phrases that describe the subject or content of the resource. See also section 4 of the Dublin Core Users Guide.","","Dublin Core","","http://www.dublincore.org/documents/2001/04/12/usageguide/glossary/",""
"Subject Headings","An alphabetical list of words or phrases that represent a concept that is under authority control, e.g., the Library of Congress Subject Headings.","","Dublin Core","","http://www.dublincore.org/documents/2001/04/12/usageguide/glossary/",""
"syntax","The form and structure with which metadata elements are combined. In the case of Dublin Core, the form and structure of how metadata elements and their components are combined to form a metadata record.","","Dublin Core","","http://www.dublincore.org/documents/2001/04/12/usageguide/glossary/",""
"thesaurus","A controlled vocabulary of terms or concepts that are structured hierarchically (parent/child relationships) or as equivalences (synonyms), and related terms (associative). See also Subject headings and glossary.","","Dublin Core","","http://www.dublincore.org/documents/2001/04/12/usageguide/glossary/",""
"term list","Lists (pick lists): limited sets of terms in some sequential order. - Dictionaries: alphabetical lists of terms and their definitions that provide variant senses for each term, where applicable. - Glossaries: alphabetical lists of terms, usually with definitions. - Synonym Rings: sets of terms that are considered equivalent for the purpose of retrieval.","","","Zeng 2008","https://www.researchgate.net/publication/297530633_Knowledge_organization_systems_KOS",""
"term list","Lists (pick lists): limited sets of terms in some sequential order","pick list","","Zeng 2008","https://www.researchgate.net/publication/297530633_Knowledge_organization_systems_KOS",""
"dictionary","Dictionaries: alphabetical lists of terms and their definitions that provide variant senses for each term, where applicable.","","","Zeng 2008","https://www.researchgate.net/publication/297530633_Knowledge_organization_systems_KOS",""
"glosary","Glossaries: alphabetical lists of terms, usually with definitions.","","","Zeng 2008","https://www.researchgate.net/publication/297530633_Knowledge_organization_systems_KOS",""
"synonym ring","Synonym Rings: sets of terms that are considered equivalent for the purpose of retrieval.","","","Zeng 2008","https://www.researchgate.net/publication/297530633_Knowledge_organization_systems_KOS",""
"Metadata-like Models","authority files, directories, gazetters","","","Zeng 2008","https://www.researchgate.net/publication/297530633_Knowledge_organization_systems_KOS",""
"Authority Files",": lists of terms that are used to control the variant names for an entity or the domain value for a particular field.","","","Zeng 2008","https://www.researchgate.net/publication/297530633_Knowledge_organization_systems_KOS",""
"Directories",": lists of names and their associated contact information.","","","Zeng 2008","https://www.researchgate.net/publication/297530633_Knowledge_organization_systems_KOS",""
"Gazetteers","geospatial dictionaries of named and typed places.","","","Zeng 2008","https://www.researchgate.net/publication/297530633_Knowledge_organization_systems_KOS",""
"Classification and Categorization","Subject Headings, categorization scheme, taxonomies, classifiecation schemes","","","Zeng 2008","https://www.researchgate.net/publication/297530633_Knowledge_organization_systems_KOS",""
"Subject Headings",": schemes that provide a set of controlled terms to represent the subjects of items in a collection and sets of rules for combining terms into compound headings.","","","Zeng 2008","https://www.researchgate.net/publication/297530633_Knowledge_organization_systems_KOS",""
"Categorization Schemes",": loosely formed grouping schemes. ","","","Zeng 2008","https://www.researchgate.net/publication/297530633_Knowledge_organization_systems_KOS",""
"Taxonomies"," divisions of items into ordered groups or categories based on particular characteristics.
","","","Zeng 2008","https://www.researchgate.net/publication/297530633_Knowledge_organization_systems_KOS",""
"Classification Schemes",": hierarchical and faceted arrangements of numerical or alphabetical notations to represent broad topics.","","","Zeng 2008","https://www.researchgate.net/publication/297530633_Knowledge_organization_systems_KOS",""
"Relationship Models","Thesauri,  Semantic Networks, Ontologies","","","Zeng 2008","https://www.researchgate.net/publication/297530633_Knowledge_organization_systems_KOS",""
"Thesauri",": sets of terms representing concepts and the hierarchical, equivalence, and associative relationships among them. Thesaurus structures of this type are based on NISO Z39.19-2005 and ISO 2788 -1986 standards.  Another type of thesaurus (e.g., Roget’s Thesaurus) represents only the equivalence (synonymy) of terms with the addition of classification categories. ","","","Zeng 2008","https://www.researchgate.net/publication/297530633_Knowledge_organization_systems_KOS",""
"Semantic Networks"," sets of terms representing concepts, modeled as the nodes in a network of variable relationship types. ","","","Zeng 2008","https://www.researchgate.net/publication/297530633_Knowledge_organization_systems_KOS",""
"Ontologies"," specific concept models representing complex relationships between objects, including the rules and axioms that are missing in semantic networks.","","","Zeng 2008","https://www.researchgate.net/publication/297530633_Knowledge_organization_systems_KOS",""
"Subject-based classification","Subject-based classification is any form of content classification that groups objects by the subjects they are about. ","","","Garshol 2004 ","https://web.archive.org/web/20081017174807/http://www.ontopia.net/topicmaps/materials/tm-vs-thesauri.html","taxonomy, thesauri, Faceted classification ,Ontology"
"Controlled vocabularies"," here we mean by it a closed list of named subjects, which can be used for classification. In library science this is sometimes known as an indexing language. The constituents of a controlled vocabulary are usually known as terms, where a term is a particular name for a particular concept. (This is pretty much the same as the common-sense notion of a keyword.)","","","Garshol 2004 ","https://web.archive.org/web/20081017174807/http://www.ontopia.net/topicmaps/materials/tm-vs-thesauri.html",""
"taxonomy ","a hierarchical classification system. In this paper we will use taxonomy to mean a subject-based classification that arranges the terms in the controlled vocabulary into a hierarchy without doing anything further, though in real life you will find the term ""taxonomy"" applied to more complex structures as well.","","","Garshol 2004","https://web.archive.org/web/20081017174807/http://www.ontopia.net/topicmaps/materials/tm-vs-thesauri.html",""
"thesauri ","Thesauri basically take taxonomies as described above and extend them to make them better able to describe the world by not only allowing subjects to be arranged in a hierarchy, but also allowing other statements to be made about the subjects. ","thesaurus","","Garshol 2004","https://web.archive.org/web/20081017174807/http://www.ontopia.net/topicmaps/materials/tm-vs-thesauri.html",""
"Faceted classification","The term faceted classification has (you saw this coming, right?) been used to mean many different things. It was originally proposed by S.R. Ranganathan in the 1930s[Ranganathan], and works by identifying a number of facets into which the terms are divided. The facets can be thought of as different axes along which documents can be classified, and each facet contains a number of terms. How the terms within each facet are described varies, though in general a thesaurus-like structure is used, and usually a term is only allowed to belong to a single facet [Svenonius]. In faceted classification the idea is to classify documents by picking one term from each facet to describe the document along all the different axes.","","","Garshol 2004","https://web.archive.org/web/20081017174807/http://www.ontopia.net/topicmaps/materials/tm-vs-thesauri.html",""
"Ontology","a model for describing the world that consists of a set of types, properties, and relationship types","","","Garshol 2004","https://web.archive.org/web/20081017174807/http://www.ontopia.net/topicmaps/materials/tm-vs-thesauri.html",""
"synonym ring","ynonym rings, which connect together a set of terms as being equivalent for search purposes. (That is, if you search for ""topic navigation maps"" you should also find ""topic maps"", for example.) Essentially synonym rings express a synonym relationship between a set of terms, and so is similar to the UF/USE relationship of thesauri, except that there is no indication of one term being preferred above the others.","","","Garshol 2004","https://web.archive.org/web/20081017174807/http://www.ontopia.net/topicmaps/materials/tm-vs-thesauri.html",""
"authority file","authority file is similar to a synonym ring, the only difference being that it consists of UF/USE relationships instead of synonym relationships. So in an authority file one term in each synonym ring is indicated as being the preferred term for that subject.","","","Garshol 2004","https://web.archive.org/web/20081017174807/http://www.ontopia.net/topicmaps/materials/tm-vs-thesauri.html",""
"Topic maps","Topic maps originated in work on the merging of electronic indexes and so are very much a subject-based classification technique. In fact, topic maps are organized around topics, and each topic is used to represent some real-world thing. In the terminology we used above, topics represent concepts, the same way terms in an indexing language refer to concepts. In topic maps the concepts are called subjects, and the standard emphatically states that a subject can be ""anything whatsoever"". We will return to the consequences of this later on.","","","Garshol 2004","https://web.archive.org/web/20081017174807/http://www.ontopia.net/topicmaps/materials/tm-vs-thesauri.html",""
"element set ","A metadata element set defines classes and attributes used to describe entities of interest. In Linked Data terminology, such element sets are generally made concrete through RDF Schemas or OWL Web Ontology Language ontologies, the term ""RDF vocabulary"" often being used as an umbrella for these. Usually a metadata element set does not describe bibliographic entities, rather it provides elements to be used by others to describe such entities.","Metadata element sets","w3c","","https://www.w3.org/2005/Incubator/lld/XGR-lld-vocabdataset-20111025",""
"Dataset","The equivalent of a dataset in the library world is a collection of library records. Library records consist of statements about things, where each statement consists of an element (""attribute"" or ""relationship"") of the entity, and a ""value"" for that element. The elements that are used are usually selected from a set of standard elements, such as MARC21 or Dublin Core (DC). The values for the elements are either taken from value vocabularies such as the Library of Congress Subject Headings (LCSH), or are free text values. Similar concepts to ""dataset"" include ""collection"" or ""metadata record set""","","w3c","","https://www.w3.org/2005/Incubator/lld/XGR-lld-vocabdataset-20111025",""
"controlled vocabulary","A controlled vocabulary is an organized arrangement of words and phrases used to index content and/or to retrieve content through browsing or searching. It typically includes preferred and variant terms and has a defined scope or describes a specific domain. ","","Harpring 2010","","",""
"classification system","A classification scheme is the product of arranging things into kinds of things (classes) or into groups of classes. In the abstract, the resulting structures are a crucial aspect of metadata, often represented as a hierarchical structure and accompanied by descriptive information of the classes or groups. Such a classification scheme is intended to be used for an arrangement or division of individual objects into the classes or groups, and the classes or groups are based on characteristics which the objects (members) have in common.","classification scheme","wikipedia","","https://en.wikipedia.org/wiki/Comparison_and_contrast_of_classification_schemes_in_linguistics_and_metadata",""
"classification scheme","thesaurus, taxonomy, data model, ontology ","","","","",""
"named authority list","The NALs are harmonised codes and multilingual labels used to facilitate data exchange.","","joinup","","https://joinup.ec.europa.eu/news/reusable-named-authority-list",""
"subject headings","","","","","",""
"thesaurus","a collection of categorized concepts, denoted by words or phrases, that are related to each other by narrower term, wider term and related term relations.","","wikipedia","","https://en.wikipedia.org/wiki/Comparison_and_contrast_of_classification_schemes_in_linguistics_and_metadata",""
"taxonomy ","a formal list of concepts, denoted by controlled words or phrases, arranged from abstract to specific, related by subtype-supertype relations or by superset-subset relations.","","wikipedia","","https://en.wikipedia.org/wiki/Comparison_and_contrast_of_classification_schemes_in_linguistics_and_metadata",""
"semantic spectrum","The semantic spectrum (sometimes referred to as the ontology spectrum or the smart data continuum or semantic precision) is a series of increasingly precise or rather semantically expressive definitions for data elements in knowledge representations, especially for machine use.","","wikipedia","","https://en.wikipedia.org/wiki/Semantic_spectrum",""
"glossary","A simple list of terms and their definitions. A glossary focuses on creating a complete list of the terminology of domain-specific terms and acronyms. It is useful for creating clear and unambiguous definitions for terms and because it can be created with simple word processing tools, few technical tools are necessary.","","wikipedia","","https://en.wikipedia.org/wiki/Semantic_spectrum",""
"controlled vocabulary","An established list of preferred terms from which a cataloger or indexer must select when assigning subject headings or descriptors in a bibliographic record, to indicate the content of the work in a library catalog, index, or bibliographic database. Synonyms are included as lead-in vocabulary, with instructions to see or USE the authorized heading.","","odlis","","https://www.abc-clio.com/ODLIS/odlis_c.aspx",""
"data dictionary","Terms, definitions, naming conventions and one or more representations of the data elements in a computer system. Data dictionaries often define data types, validation checks such as enumerated values and the formal definitions of each of the enumerated values.","","wikipedia","","https://en.wikipedia.org/wiki/Semantic_spectrum",""
"data model","Terms, definitions, naming conventions, representations and one or more representations of the data elements as well as the beginning of specification of the relationships between data elements including abstractions and containers.","","wikipedia","","https://en.wikipedia.org/wiki/Semantic_spectrum",""
"taxonomy","A complete data model in an inheritance hierarchy where all data elements inherit their behaviors from a single ""super data element"". The difference between a data model and a formal taxonomy is the arrangement of data elements into a formal tree structure where each element in the tree is a formally defined concept with associated properties.","","wikipedia","","https://en.wikipedia.org/wiki/Semantic_spectrum",""
"ontology","A complete, machine-readable specification of a conceptualization using URIs (and then IRIs) for all data elements, properties and relationship types. The W3C standard language for representing ontologies is the Web Ontology Language (OWL). Ontologies frequently contain formal business rules formed in discrete logic statements that relate data elements to each another.","","wikipedia","","https://en.wikipedia.org/wiki/Semantic_spectrum",""
"data element","In metadata, the term data element is an atomic unit of data that has precise meaning or precise semantics. A data element has:  An identification such as a data element name A clear data element definition One or more representation terms Optional enumerated values Code (metadata) A list of synonyms to data elements in other metadata registries Synonym ring","element","wikipedia","","https://en.wikipedia.org/wiki/Data_element",""
"conceptual model","A conceptual model represents the human understanding of a system.","","ISO_IEC_11179-1_2004","","http://standards.iso.org/ittf/PubliclyAvailableStandards/c035343_ISO_IEC_11179-1_2004(E).zip",""
"concept tystem","set of concepts structured according to the relations among them","","ISO_IEC_11179-1_2004","","http://standards.iso.org/ittf/PubliclyAvailableStandards/c035343_ISO_IEC_11179-1_2004(E).zip",""
"data model","graphical and/or lexical representation of data, specifying their properties, structure and inter-relationships","","ISO_IEC_11179-1_2004","","http://standards.iso.org/ittf/PubliclyAvailableStandards/c035343_ISO_IEC_11179-1_2004(E).zip",""
"terminological system","concept system with designations for each concept","","ISO_IEC_11179-1_2004","","http://standards.iso.org/ittf/PubliclyAvailableStandards/c035343_ISO_IEC_11179-1_2004(E).zip",""
"classification scheme","descriptive information for an arrangement or division of objects into groups based on characteristics, which the objects have in common","","ISO_IEC_11179-1_2004","","http://standards.iso.org/ittf/PubliclyAvailableStandards/c035343_ISO_IEC_11179-1_2004(E).zip",""
"named authority list","lists of propoer names; Name authority list, name authority file, authority list are identified as lists of proper names, not classes so this term would cover only a minority of our authority tables. (Yes, I know that we use named instead of name but we are practically the only one to do so; this term version is not a big step in the direction of harmonisation and/or unequivocal understanding.)
","Name authority list, name authority file, authority list ","Timea's email","","",""
"Controlled vocabulary","""Controlled vocabulary"" is a general term for a list of standardized terms used for indexing and information retrieval usually in a defined information domain. It is characterized by consistent format, syntax and may include synonyms and cross-references. In a controlled vocabulary, one of a set of possible terms representing a concept is chosen as the representative term for that concept (preferred term). Consequently, all resources about that particular concept, within a body of information resources, can be indexed using the representative term.","","canadian gov","","http://www.bac-lac.gc.ca/eng/services/government-information-resources/controlled-vocabularies/Pages/how-to-register-controlled-vocabulary.aspx",""
"mapping","Mappings are relationships between a concept in one vocabulary and one or more concepts in another [vocabulary] by the definition which makes reference to ISO. We should take this into consideration in the editorial content.","","Timea's email","","",""
"reference asset","","","from Inventory of controlled vocabularies","","",""
"code list","Code lists are structural metadata. They provide the coding for the dimensions used in a table, e.g. UNIT, AGE, SEX, etc. All code lists currently used in Eurobase are available in the code list (see 'dic'), in EN, FR and DE. Code lists are very relevant when writing table titles: the terminology used in table titles should be coherent with code lists where applicable.","harmonised (common) code lists ","eurostat - ramon","","http://ec.europa.eu/eurostat/ramon/index.cfm?TargetUrl=DSP_PUB_WELC",""
"classification","Set of discrete, exhaustive and mutually exclusive observations, which can be assigned to one or more variables to be measured in the collation and/or presentation of data.","","eurostat - ramon ","","http://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=DSP_GLOSSARY_NOM_DTL_VIEW&StrNom=CODED2&StrLanguageCode=EN&IntKey=21224603&RdoSearch=BEGIN&TxtSearch=&CboTheme=36940327&IsTer=&IntCurrentPage=2&ter_valid=0",""
"taxonomy","Classification of things according to a presumed relationship among types and subtypes.","","eurostat - ramon","","http://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=DSP_GLOSSARY_NOM_DTL_VIEW&StrNom=CODED2&StrLanguageCode=EN&IntKey=21236603&RdoSearch=BEGIN&TxtSearch=&CboTheme=36940327&IsTer=&ter_valid=0&IntCurrentPage=2",""
